time,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH
2000-01-09T11:20:00,139.0,0.002,0.112,6.35,1.31,17.9,146.0,7.5
2000-01-16T14:59:00,40.0,0.001,0.04,1.84,0.089,8.7,82.6,7.2
2000-03-05T10:45:00,87.8,0.002,0.084,5.1,1.37,11.3,95.0,7.5
2000-05-01T12:15:00,107.0,0.005,0.121,6.9,1.76,9.5,93.0,7.7
2000-05-06T15:30:00,122.0,0.012,0.128,7.22,2.66,8.4,94.7,8.3
2000-05-21T10:55:00,112.0,0.002,0.195,11.6,3.7,8.3,80.0,7.4
2000-06-25T10:24:00,117.0,0.003,0.202,10.2,2.97,6.7,65.0,7.6
2000-07-23T15:40:00,142.0,0.004,0.182,17.2,6.02,,84.5,7.9
2000-07-30T09:30:00,105.0,0.005,0.347,7.51,3.24,8.9,85.6,7.8
2000-10-24T14:45:00,93.0,0.004,0.111,5.41,1.62,7.51,71.2,7.7
2000-12-20T14:30:00,103.0,0.0032,0.102,4.72,0.823,,,7.6
2000-12-22T11:00:00,123.0,0.0034,0.106,4.66,1.09,10.3,87.3,7.6
2000-12-27T12:04:00,101.0,0.0037,0.103,5.51,1.14,10.3,83.7,7.7
2001-02-09T12:35:00,71.0,0.0018,0.058,3.1,0.42,12.1,98.6,7.45
2001-03-12T16:45:00,64.0,0.0026,0.0878,3.88,0.916,10.8,91.0,7.6
2001-05-02T15:11:00,90.0,0.0017,0.113,5.63,1.52,9.72,85.9,7.33
2001-07-08T15:45:00,126.0,0.0021,0.2,9.91,5.99,6.54,71.0,7.4
2001-10-12T11:17:00,102.0,0.0019,0.106,11.4,2.86,8.22,82.9,7.54
2001-10-21T12:50:00,90.0,0.0016,0.1,8.81,2.88,8.27,81.6,7.44
2001-11-02T09:40:00,96.0,0.0013,0.1,8.17,1.97,8.69,79.0,7.4
2001-11-08T09:34:00,92.0,0.0026,0.204,7.1,2.27,8.35,75.0,7.25
2001-11-14T10:40:00,91.0,0.0043,0.203,14.6,3.13,9.78,85.2,7.62
2001-11-30T10:12:00,96.0,0.0023,0.197,10.3,2.69,8.7,81.0,7.4
2001-12-11T13:57:00,106.0,0.0074,0.154,11.0,2.94,,,7.8
2001-12-15T13:30:00,140.0,0.0027,0.183,11.5,3.74,10.7,90.0,7.3
2001-12-27T13:05:00,100.0,0.0048,0.163,14.9,3.18,11.1,90.7,7.73
2002-01-28T12:10:00,66.0,0.0027,0.0677,4.16,1.1,10.8,94.0,7.8
2002-02-22T14:40:00,98.0,0.0023,0.0861,6.76,1.43,10.7,90.7,7.65
2002-03-22T14:05:00,58.2,0.0025,0.0902,7.45,0.205,7.55,69.87,7.48
2002-05-02T15:50:00,52.2,0.0049,0.0821,6.33,0.248,10.1,95.4,7.7
2002-06-07T14:05:00,53.1,0.0022,0.0737,9.06,0.239,8.72,89.0,7.42
2002-07-17T13:50:00,123.0,0.0033,0.247,17.8,0.93,6.93,76.2,7.46
2002-08-07T15:40:00,110.0,0.003,0.191,15.4,0.621,7.45,84.6,7.37
2002-10-18T15:10:00,114.0,0.0101,0.347,14.6,0.563,8.34,78.1,7.51
2002-10-29T14:40:00,112.0,0.0161,0.339,15.3,0.78,9.27,82.6,7.91
2002-11-13T12:25:00,81.0,0.00779,0.132,4.29,0.532,9.12,83.4,7.71
2002-11-26T15:45:00,55.0,0.00226,0.0395,1.37,0.05,11.1,94.3,7.87
2002-12-10T14:15:00,78.0,0.00089,0.0751,8.2,0.131,10.1,81.4,7.1
2003-01-03T11:50:00,68.0,0.00223,0.0664,3.16,0.13,10.5,89.9,7.6
2003-03-03T14:40:00,71.0,0.00159,0.113,9.94,0.117,10.4,87.2,7.1
2003-03-18T15:05:00,107.0,0.00286,0.134,10.3,0.385,9.81,92.9,7.39
2003-04-17T12:58:00,67.0,0.0113,0.145,18.9,0.16,10.6,107.0,7.95
2003-04-25T14:15:00,58.0,0.00049,0.0649,2.57,0.09,10.4,99.5,7.0
2003-05-20T14:04:00,57.0,0.0232,0.168,14.1,0.167,8.06,78.3,8.01
2003-07-29T13:00:00,83.0,0.009,0.74,18.3,0.236,6.52,69.0,7.6
2003-08-15T12:35:00,106.0,0.00379,0.994,22.2,0.545,5.71,63.0,7.5
2003-09-05T13:15:00,114.0,0.00433,0.974,24.1,0.504,6.95,74.1,7.2
2003-10-10T13:40:00,93.0,0.0168,0.546,32.8,0.269,6.91,71.7,7.5
2003-10-31T12:10:00,80.0,0.00506,0.315,13.0,0.173,9.33,86.6,7.0
2003-11-21T12:00:00,126.0,0.019,0.528,22.9,0.882,7.84,74.7,7.3
2004-01-27T11:04:00,,0.00114,0.162,11.6,1.52,10.7,88.6,7.0
2004-02-26T11:55:00,,0.00066,0.105,17.4,0.397,10.7,86.8,6.89
2004-03-19T12:05:00,,0.00195,0.132,18.9,1.2,10.0,89.4,7.41
2004-04-01T10:50:00,,0.00144,0.16,21.3,1.43,9.28,85.5,7.15
2004-04-29T11:25:00,,0.00093,0.0313,12.6,0.559,9.12,85.8,7.49
2004-06-04T12:05:00,,0.00304,0.112,18.9,0.987,8.3,87.0,7.43
2004-08-05T11:05:00,,0.00093,0.192,21.3,0.322,5.05,56.0,7.26
2004-08-20T12:40:00,,0.00124,0.131,12.4,0.141,7.75,82.8,7.51
2004-09-03T10:30:00,,0.00075,0.205,16.9,0.152,6.86,71.0,7.27
2004-10-22T10:35:00,,0.00085,0.0467,11.3,0.218,9.44,88.3,7.51
2004-11-19T12:35:00,,0.00523,0.109,17.3,0.227,8.24,72.6,7.39
2004-12-07T12:25:00,,0.00132,0.0835,20.9,0.384,11.5,101.1,7.49
2005-01-25T11:30:00,,0.00092,0.0573,19.1,0.559,11.0,89.4,7.46
2005-02-18T10:15:00,,0.00224,0.0454,13.7,0.276,12.1,100.6,8.01
2005-03-24T12:35:00,,0.0007,0.0609,21.2,0.283,9.68,91.3,7.28
2005-04-18T11:20:00,,0.00161,0.103,19.9,1.3,9.14,85.5,7.5
2005-05-26T12:40:00,,0.00145,0.103,26.6,0.192,8.68,91.4,7.41
2005-06-29T12:20:00,,0.00247,0.321,18.5,0.297,6.53,70.8,7.21
2005-07-20T11:55:00,,0.00248,0.433,29.9,0.225,7.28,76.2,7.72
2005-08-17T14:10:00,,0.00121,0.226,23.7,0.797,7.56,83.4,7.47
2005-09-07T12:18:00,,0.00066,0.172,19.9,0.342,6.87,74.9,7.26
2005-10-14T11:10:00,,0.00133,0.15,15.1,0.118,8.44,83.9,7.37
2005-11-21T14:00:00,,0.0009,0.0657,19.2,0.194,10.9,91.0,7.48
2005-12-01T10:50:00,,0.00088,0.0832,15.2,0.347,10.5,88.5,7.45
2006-02-09T13:40:00,,0.00092,0.0627,22.7,0.274,10.8,89.4,7.59
2006-02-23T14:10:00,,0.00266,0.0701,16.0,0.148,12.7,101.8,7.61
2006-03-09T14:15:00,,0.00109,0.0683,12.9,0.081,11.3,97.9,7.58
2006-04-24T11:25:00,,0.00265,0.209,19.7,0.394,10.8,101.9,7.44
2006-05-18T14:49:00,,0.00143,0.0833,19.2,0.104,8.53,87.5,7.49
2006-06-21T14:15:00,,0.00107,0.0949,30.2,0.137,8.25,87.1,7.56
2006-07-27T13:25:00,,0.00193,0.0785,23.8,0.499,7.09,82.8,7.6
2006-09-01T13:33:00,,0.00199,0.0812,4.15,0.242,8.53,91.4,7.48
2006-09-20T12:40:00,,0.00098,0.0525,23.2,0.626,9.02,96.1,7.72
2006-10-26T11:15:00,,0.00092,0.0335,10.7,0.64,10.8,108.4,7.66
2006-11-09T12:10:00,,0.00125,0.0478,21.2,1.71,,,7.83
2006-12-05T12:15:00,,0.001,0.0321,7.2,0.596,9.93,90.0,7.73
2007-01-29T12:37:00,102.0,0.0007,0.0339,11.8,0.242,11.5,99.1,7.65
2007-02-05T10:55:00,94.0,0.00113,0.0449,14.6,0.264,10.5,89.3,7.73
2007-03-02T13:00:00,84.0,0.00072,0.0225,4.53,0.104,12.0,102.7,7.62
2007-04-04T12:35:00,92.0,0.00096,0.0429,16.5,0.598,12.0,107.7,7.82
2007-04-16T11:50:00,101.0,0.00166,0.0936,21.5,1.25,9.13,99.7,7.44
2007-05-04T12:33:00,72.0,0.00128,0.0661,29.8,1.11,9.52,93.8,7.61
2007-06-01T11:00:00,81.0,0.00077,0.043,12.4,0.319,9.22,94.3,7.61
2007-07-27T11:30:00,82.0,0.00197,0.0507,7.24,0.253,,,7.61
2007-08-24T11:35:00,84.0,0.00437,0.347,12.2,0.386,6.5,67.2,7.57
2007-10-19T10:45:00,86.0,0.00176,0.0642,14.4,0.448,9.84,90.6,7.79
2007-10-30T13:10:00,96.0,0.00053,0.045,21.4,0.798,9.37,88.7,7.57
2007-11-16T10:20:00,87.0,0.00109,0.0704,17.0,0.614,11.8,98.1,7.73
2007-12-14T11:25:00,90.0,0.00091,0.0463,13.3,0.424,11.1,91.4,7.73
2008-01-25T11:35:00,104.0,0.00089,0.0319,8.86,0.305,11.1,94.5,7.82
2008-02-22T09:40:00,80.0,0.00097,0.0361,11.0,0.27,11.4,96.8,7.81
2008-03-14T11:15:00,86.0,0.00092,0.0458,13.7,0.433,11.0,96.5,7.75
2008-04-18T12:00:00,81.0,0.00107,0.0418,15.7,0.413,10.9,97.3,7.82
2008-05-16T10:15:00,80.0,0.00134,0.0847,15.0,0.649,8.59,84.4,7.56
2008-06-13T10:55:00,84.0,0.00087,0.057,11.4,0.226,8.89,92.4,7.53
2008-07-07T10:55:00,80.0,0.0008,0.0327,8.87,0.139,8.6,91.0,7.54
