date,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH,date
2000-01-18,229.0,0.001,0.029,11.7,0.188,12.47,99.7,8.1,2000-01-18
2000-02-15,242.0,0.001,0.022,10.2,0.203,12.64,102.2,8.3,2000-02-15
2000-03-14,229.0,0.001,0.015,11.2,0.127,11.74,104.1,8.2,2000-03-14
2000-05-08,223.0,0.001,0.027,11.2,0.048,9.77,93.7,8.1,2000-05-08
2000-06-13,217.0,0.001,0.041,8.49,0.202,8.84,91.0,8.1,2000-06-13
2000-07-19,207.0,0.001,0.03,6.86,0.285,7.61,79.4,8.2,2000-07-19
2000-08-16,212.0,0.0015,0.03,5.81,0.434,9.68,101.5,8.2,2000-08-16
2000-08-25,212.0,0.0015,0.016,5.61,0.435,7.97,83.4,8.2,2000-08-25
2000-09-01,223.0,0.0008,0.016,5.97,0.546,7.81,78.0,8.0,2000-09-01
2000-09-20,203.0,0.0009,0.032,5.36,0.659,8.76,84.9,8.1,2000-09-20
2000-10-16,213.0,0.0006,0.028,5.74,0.214,9.58,88.7,8.0,2000-10-16
2000-11-15,225.0,0.0005,0.024,10.3,0.111,11.0,92.2,8.0,2000-11-15
2000-11-29,180.0,0.001,0.058,7.71,0.227,10.5,93.3,8.1,2000-11-29
2001-01-17,229.0,0.0006,0.023,11.7,0.101,12.3,93.7,8.2,2001-01-17
2001-03-08,189.0,0.0016,0.0402,8.99,0.114,11.0,93.6,8.0,2001-03-08
2001-07-18,178.0,0.0013,0.0385,5.67,0.301,11.2,111.5,8.09,2001-07-18
2001-10-17,221.0,0.0018,0.0461,5.97,0.41,9.23,88.6,8.1,2001-10-17
2002-02-11,216.0,0.0008,0.0278,10.0,0.147,11.0,95.3,8.19,2002-02-11
2002-03-28,212.0,0.0005,0.0119,9.17,0.121,10.5,91.8,8.05,2002-03-28
2002-04-15,200.0,0.0005,0.0233,8.83,0.079,11.8,101.7,8.4,2002-04-15
2002-04-16,200.0,0.0006,0.0237,8.66,0.093,12.1,108.4,8.4,2002-04-16
2002-05-10,201.0,0.0012,0.037,7.42,0.191,10.8,100.4,8.2,2002-05-10
2002-05-13,200.0,0.0007,0.0393,7.31,0.216,9.65,91.6,8.1,2002-05-13
2002-06-10,200.0,0.0021,0.0546,6.61,0.255,10.4,101.0,8.1,2002-06-10
2002-08-08,186.0,0.0024,0.058,4.66,0.322,8.19,86.8,8.0,2002-08-08
2002-08-14,212.0,0.0009,0.0332,4.79,0.332,8.79,91.8,8.0,2002-08-14
2002-09-19,202.0,0.0008,0.0341,4.96,0.346,9.84,96.6,8.05,2002-09-19
2002-10-16,191.0,0.0025,0.0508,6.34,0.526,9.21,82.4,8.07,2002-10-16
2002-11-14,177.0,0.00069,0.03,8.51,0.132,10.0,88.1,8.06,2002-11-14
2002-12-14,226.0,0.00055,0.0234,9.52,0.139,12.1,97.7,8.02,2002-12-14
2003-01-15,230.0,0.00029,0.0204,10.7,0.09,12.1,101.2,7.7,2003-01-15
2003-02-12,207.0,0.00045,0.035,8.87,0.155,11.7,95.7,7.72,2003-02-12
2003-03-10,207.0,0.00077,0.0293,8.3,0.142,11.6,99.8,8.17,2003-03-10
2003-04-14,199.0,0.00058,0.0248,8.28,0.08,11.0,100.0,8.1,2003-04-14
2003-05-01,190.0,0.00177,0.0463,7.65,0.183,10.6,98.8,8.1,2003-05-01
2003-05-13,207.0,0.0021,0.0383,7.01,0.183,10.9,101.5,8.24,2003-05-13
2003-06-09,202.0,0.0039,0.0569,6.53,0.252,10.2,104.7,8.15,2003-06-09
2003-06-24,197.0,0.00237,0.0462,5.22,0.235,8.41,89.1,7.93,2003-06-24
2003-06-26,195.0,0.00257,0.044,5.38,0.276,8.01,84.2,8.18,2003-06-26
2003-07-14,192.0,0.0051,0.0573,4.63,0.285,9.01,99.8,8.26,2003-07-14
2003-08-13,194.0,0.00414,0.0564,4.2,0.396,8.29,93.0,8.05,2003-08-13
2003-10-20,228.0,0.00028,0.0216,5.83,0.449,10.7,91.1,7.77,2003-10-20
2003-10-29,232.0,0.00044,0.0184,6.15,0.517,12.3,101.2,8.19,2003-10-29
2003-11-12,217.0,0.00112,0.0375,5.01,0.514,11.8,104.5,7.86,2003-11-12
2003-12-10,209.0,0.00079,0.0347,8.22,0.23,13.3,101.9,8.1,2003-12-10
2006-12-19,226.0,0.00045,0.0197,10.1,0.076,11.5,95.2,8.06,2006-12-19
2007-02-06,243.0,0.00039,0.0145,10.5,0.097,12.4,97.4,8.14,2007-02-06
2007-02-14,198.0,0.00044,0.0126,7.84,0.085,11.4,93.6,8.0,2007-02-14
2007-04-16,207.0,0.00077,0.0276,8.38,0.051,10.0,99.1,8.1,2007-04-16
2007-05-14,208.0,0.00185,0.045,6.68,0.189,9.3,86.9,7.9,2007-05-14
2007-06-14,208.0,0.00097,0.0204,6.54,0.17,8.8,93.0,8.0,2007-06-14
2007-07-19,215.0,0.0007,0.0156,6.92,0.108,8.73,89.6,7.9,2007-07-19
2007-08-15,212.0,0.00085,0.0199,7.9,0.079,8.95,90.9,8.0,2007-08-15
2007-09-24,226.0,0.00072,0.0156,7.62,0.153,8.77,87.2,7.96,2007-09-24
2007-10-20,213.0,0.00059,0.0232,7.17,0.104,10.2,93.0,8.0,2007-10-20
